"Data","Ora","PrezzoZonale","Quantita","Prezzo"
2023-11-01,"1",64.97417,13.14,50
2023-11-01,"1",64.97417,76.75,49.53
2023-11-01,"1",64.97417,8.825,45.7
2023-11-01,"1",64.97417,9.949,45.25
2023-11-01,"1",64.97417,5.62,45.12
2023-11-01,"1",64.97417,2.154,40.44
2023-11-01,"1",64.97417,50.284,35.97
2023-11-01,"1",64.97417,37.675,35.92
2023-11-01,"1",64.97417,12.2,35.59
2023-11-01,"1",64.97417,7,35.42
2023-11-01,"1",64.97417,20,35.36
2023-11-01,"1",64.97417,8.86,35.28
2023-11-01,"1",64.97417,8,35.25
2023-11-01,"1",64.97417,25.635,32.41
2023-11-01,"1",64.97417,107.415,31
2023-11-01,"1",64.97417,375.299,30
2023-11-01,"1",64.97417,29.549,25.38
2023-11-01,"1",64.97417,0.02,25
2023-11-01,"1",64.97417,626,20
2023-11-01,"1",64.97417,14.344,15.64
2023-11-01,"1",64.97417,5.74,15.53
2023-11-01,"1",64.97417,12.43,15
2023-11-01,"1",64.97417,20.95,11
2023-11-01,"1",64.97417,1.2,10.8
2023-11-01,"1",64.97417,128.7,10
2023-11-01,"1",64.97417,8.5,9.9
2023-11-01,"1",64.97417,19.8,9.8
2023-11-01,"1",64.97417,12.4,9.7
2023-11-01,"1",64.97417,19.9,9.6
2023-11-01,"1",64.97417,17.8,9.5
2023-11-01,"1",64.97417,1.9,9.3
2023-11-01,"1",64.97417,96.2,9
2023-11-01,"1",64.97417,1.8,8.7
2023-11-01,"1",64.97417,6.7,8.5
2023-11-01,"1",64.97417,23.6,8
2023-11-01,"1",64.97417,12.9,7
2023-11-01,"1",64.97417,0.003,6
2023-11-01,"1",64.97417,211.274,5
2023-11-01,"1",64.97417,51,4
2023-11-01,"1",64.97417,45.237,3.06
2023-11-01,"1",64.97417,261.248,3
2023-11-01,"1",64.97417,91.1,2.1
2023-11-01,"1",64.97417,2037.01,1
2023-11-01,"1",64.97417,3.328,0.5
2023-11-01,"1",64.97417,60,0.2
2023-11-01,"1",64.97417,26.615,0.1
2023-11-01,"1",64.97417,0.525,0.05
2023-11-01,"1",64.97417,176.051,0.01
2023-11-01,"1",64.97417,11308.02,0
2023-11-01,"1",64.97417,70.355,-0.05
2023-11-01,"1",64.97417,323.273,-0.5
2023-11-01,"1",64.97417,31.485,-0.65
2023-11-01,"1",64.97417,653.352,-1
2023-11-01,"1",64.97417,33.3,-2
2023-11-01,"1",64.97417,112.636,-5
2023-11-01,"1",64.97417,0.4,-6.04
2023-11-01,"1",64.97417,29.697,-10
2023-11-01,"1",64.97417,317.502,-11
2023-11-01,"1",64.97417,133,-11.2
2023-11-01,"1",64.97417,9.4,-14.73
2023-11-01,"1",64.97417,2.5,-50
2023-11-01,"1",64.97417,387.882,-100
2023-11-01,"1",64.97417,929.094,-500
2023-11-01,"2",55.81293,0.001,800
2023-11-01,"2",55.81293,7.5,700
2023-11-01,"2",55.81293,0.003,632
2023-11-01,"2",55.81293,163.85,499
2023-11-01,"2",55.81293,101,353.29
2023-11-01,"2",55.81293,5472,304
2023-11-01,"2",55.81293,40,289
2023-11-01,"2",55.81293,60,275
2023-11-01,"2",55.81293,37,274
2023-11-01,"2",55.81293,10,273
2023-11-01,"2",55.81293,83,272
2023-11-01,"2",55.81293,1.2,270
2023-11-01,"2",55.81293,728.614,265
2023-11-01,"2",55.81293,2010,264.84
2023-11-01,"2",55.81293,3928,263
2023-11-01,"2",55.81293,288,262.1
2023-11-01,"2",55.81293,523.13,262
2023-11-01,"2",55.81293,1998.9,260
2023-11-01,"2",55.81293,106.3,256.89
2023-11-01,"2",55.81293,35.785,254.9
2023-11-01,"2",55.81293,409.545,240
2023-11-01,"2",55.81293,70,238.22
2023-11-01,"2",55.81293,2574,237
2023-11-01,"2",55.81293,715.9,235
2023-11-01,"2",55.81293,369.2,234.56
2023-11-01,"2",55.81293,734.4,230
2023-11-01,"2",55.81293,2,224.37
2023-11-01,"2",55.81293,29,223.97
2023-11-01,"2",55.81293,44.766,221.1
2023-11-01,"2",55.81293,97,219
2023-11-01,"2",55.81293,349.2,215
2023-11-01,"2",55.81293,587,200.1
2023-11-01,"2",55.81293,447,200
2023-11-01,"2",55.81293,38.2,190
2023-11-01,"2",55.81293,193.4,185
2023-11-01,"2",55.81293,16,180.49
2023-11-01,"2",55.81293,5,180
2023-11-01,"2",55.81293,35.682,176.5
2023-11-01,"2",55.81293,63,176.02
2023-11-01,"2",55.81293,72,175.2
2023-11-01,"2",55.81293,54,171.8
2023-11-01,"2",55.81293,53.916,171.3
2023-11-01,"2",55.81293,72.3,169.9
2023-11-01,"2",55.81293,45.72,169
2023-11-01,"2",55.81293,3,167
2023-11-01,"2",55.81293,66.2,165
2023-11-01,"2",55.81293,360,164
2023-11-01,"2",55.81293,76,163.03
2023-11-01,"2",55.81293,37.2,160
2023-11-01,"2",55.81293,12,155.81
2023-11-01,"2",55.81293,48,155
2023-11-01,"2",55.81293,37,150
2023-11-01,"2",55.81293,87,149.99
2023-11-01,"2",55.81293,2.961,148.69
2023-11-01,"2",55.81293,370,146.52
2023-11-01,"2",55.81293,340,145.19
2023-11-01,"2",55.81293,370,143.74
2023-11-01,"2",55.81293,355,143.22
2023-11-01,"2",55.81293,368,140.5
2023-11-01,"2",55.81293,177,139.07
2023-11-01,"2",55.81293,370,137.9
2023-11-01,"2",55.81293,164,134.99
2023-11-01,"2",55.81293,215,132.73
2023-11-01,"2",55.81293,350,131.59
2023-11-01,"2",55.81293,201,131.23
2023-11-01,"2",55.81293,370,130.78
2023-11-01,"2",55.81293,368,130.13
2023-11-01,"2",55.81293,5,130
2023-11-01,"2",55.81293,219,129.42
2023-11-01,"2",55.81293,232,128.81
2023-11-01,"2",55.81293,181,127.88
2023-11-01,"2",55.81293,379,127.51
2023-11-01,"2",55.81293,167,126.76
2023-11-01,"2",55.81293,24.353,123.08
2023-11-01,"2",55.81293,6,120.5
2023-11-01,"2",55.81293,12.4,117
2023-11-01,"2",55.81293,24.7,116.4
